competicao;ano;nome
copa_do_brasil;1989;América de Natal
copa_do_brasil;1989;Atlético Goianiense
copa_do_brasil;1989;Atlético Mineiro
copa_do_brasil;1989;Atlético Paranaense
copa_do_brasil;1989;Avaí
copa_do_brasil;1989;Blumenau
copa_do_brasil;1989;Botafogo-PB
copa_do_brasil;1989;Confiança
copa_do_brasil;1989;Corinthians
copa_do_brasil;1989;Cruzeiro
copa_do_brasil;1989;CSA
copa_do_brasil;1989;Ferroviário
copa_do_brasil;1989;Flamengo
copa_do_brasil;1989;Flamengo-PI
copa_do_brasil;1989;Fortaleza
copa_do_brasil;1989;Grêmio
copa_do_brasil;1989;Guarani
copa_do_brasil;1989;Ibiraçu
copa_do_brasil;1989;Internacional
copa_do_brasil;1989;Mixto
copa_do_brasil;1989;Náutico
copa_do_brasil;1989;Operário-MS
copa_do_brasil;1989;Paysandu
copa_do_brasil;1989;Pinheiros
copa_do_brasil;1989;Rio Negro-AM
copa_do_brasil;1989;Sampaio Corrêa
copa_do_brasil;1989;Sport
copa_do_brasil;1989;Tiradentes
copa_do_brasil;1989;Vasco da Gama
copa_do_brasil;1989;Vitória
copa_do_brasil;1990;América de Natal
copa_do_brasil;1990;Atlético Mineiro
copa_do_brasil;1990;Atlético Mineiro 50 Vila Nova
copa_do_brasil;1990;Botafogo
copa_do_brasil;1990;Capelense
copa_do_brasil;1990;Coritiba
copa_do_brasil;1990;Criciúma
copa_do_brasil;1990;Cruzeiro
copa_do_brasil;1990;Desportiva Ferroviária
copa_do_brasil;1990;Flamengo
copa_do_brasil;1990;Goiás 50 Operário-MS
copa_do_brasil;1990;Grêmio
copa_do_brasil;1990;Internacional
copa_do_brasil;1990;Joinville
copa_do_brasil;1990;Juventus-AC
copa_do_brasil;1990;Mixto
copa_do_brasil;1990;Moto Club
copa_do_brasil;1990;Náutico
copa_do_brasil;1990;Operário-MS
copa_do_brasil;1990;Remo
copa_do_brasil;1990;Rio Negro-AM
copa_do_brasil;1990;River-PI
copa_do_brasil;1990;Santa Cruz
copa_do_brasil;1990;São José-SP
copa_do_brasil;1990;Taguatinga
copa_do_brasil;1990;Treze
copa_do_brasil;1990;União Bandeirante
copa_do_brasil;1990;Vila Nova
copa_do_brasil;1990;Vitória
copa_do_brasil;1991;ABC
copa_do_brasil;1991;Atlético Mineiro
copa_do_brasil;1991;Atlético Paranaense
copa_do_brasil;1991;Auto Esporte
copa_do_brasil;1991;Botafogo
copa_do_brasil;1991;Caiçara
copa_do_brasil;1991;Caxias
copa_do_brasil;1991;Colatina
copa_do_brasil;1991;Confiança
copa_do_brasil;1991;Corinthians
copa_do_brasil;1991;Coritiba
copa_do_brasil;1991;Criciúma
copa_do_brasil;1991;Cruzeiro
copa_do_brasil;1991;CSA
copa_do_brasil;1991;Fluminense de Feira
copa_do_brasil;1991;Gama
copa_do_brasil;1991;Goiânia
copa_do_brasil;1991;Grêmio
copa_do_brasil;1991;Paysandu
copa_do_brasil;1991;Remo
copa_do_brasil;1991;Rio Branco
copa_do_brasil;1991;Rio Negro-AM
copa_do_brasil;1991;Sampaio Corrêa
copa_do_brasil;1991;Santa Cruz
copa_do_brasil;1991;Sport
copa_do_brasil;1991;Ubiratan
copa_do_brasil;1991;União Rondonópolis
copa_do_brasil;1991;Vasco da Gama
copa_do_brasil;1991;Vitória
copa_do_brasil;1991;XV de Piracicaba
copa_do_brasil;1992;América de Natal
copa_do_brasil;1992;Atlético Acreano
copa_do_brasil;1992;Atlético Mineiro
copa_do_brasil;1992;Atlético Paranaense
copa_do_brasil;1992;Campinense
